127.0.0.1 - - [02/Feb/2017:07:58:10 +0200] "GET / HTTP/1.1" 404 983
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/ HTTP/1.1" 200 2227
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/info.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/xml.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/error.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/xml.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/info.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/error.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/xml.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/info.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/images/error.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/jquery-1.11.2/jquery-1.11.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/webcomponentsjs/webcomponents.js HTTP/1.1" 200 260125
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input.html HTTP/1.1" 200 4981
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-card/paper-card.html HTTP/1.1" 200 6215
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-button/paper-button.html HTTP/1.1" 200 5092
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-drawer-panel/paper-drawer-panel.html HTTP/1.1" 200 21424
127.0.0.1 - - [02/Feb/2017:07:58:19 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/iron-flex-layout.html HTTP/1.1" 200 7247
