127.0.0.1 - - [10/Sep/2017:15:10:21 +0300] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:17 +0300] "GET /admin HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/ HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input.html HTTP/1.1" 200 4981
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-drawer-panel/paper-drawer-panel.html HTTP/1.1" 200 21424
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-card/paper-card.html HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/webcomponentsjs/webcomponents.js HTTP/1.1" 200 260125
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/jquery-1.11.2/jquery-1.11.2.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-button/paper-button.html HTTP/1.1" 200 5092
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/iron-flex-layout.html HTTP/1.1" 200 7247
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-a11y-keys/iron-a11y-keys.html HTTP/1.1" 200 5958
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/shared-styles.html HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-a11y-keys-behavior/iron-a11y-keys-behavior.html HTTP/1.1" 200 12900
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer.html HTTP/1.1" 200 117940
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material.html HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-ripple/paper-ripple.html HTTP/1.1" 200 20217
0:0:0:0:0:0:0:1 - - [10/Sep/2017:15:11:24 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-button-behavior.html HTTP/1.1" 200 2866
